Dataset,Encoding,Parametri Q,C,RBF KTA,Quantum KTA,Coeff. Geom,Acc,F1
Linear,Amplitude,{},N/A,0.5041,0.3223,3202.3986,0.5167,0.5163
Linear,Angle,{},N/A,0.5041,0.4912,3.0469,0.9667,0.9667
Linear,Basis,{'tau_bit_per_feature': 1},N/A,0.5041,0.0853,1484.4591,0.8000,0.7931
Linear,Basis,{'tau_bit_per_feature': 2},N/A,0.5041,0.0744,1162.6856,0.6667,0.6196
Linear,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]}",N/A,0.5041,0.5035,8.3508,0.9500,0.9500
Linear,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [3, 4], [3, 5], [3, 6], [3, 7], [4, 5], [4, 6], [4, 7], [5, 6], [5, 7], [6, 7]]}",N/A,0.5041,0.4984,2.9211,0.9333,0.9333
Linear,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]}",N/A,0.5041,0.5010,6.6708,0.9333,0.9333
Linear,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [3, 4], [3, 5], [3, 6], [3, 7], [4, 5], [4, 6], [4, 7], [5, 6], [5, 7], [6, 7]]}",N/A,0.5041,0.4925,4.8728,0.9500,0.9500
Circles,Amplitude,{},N/A,0.7980,0.4083,6590.9871,0.4000,0.3973
Circles,Angle,{},N/A,0.7980,0.6430,4047.4694,1.0000,1.0000
Circles,Basis,{'tau_bit_per_feature': 1},N/A,0.7980,0.2630,6483.3156,0.4000,0.3655
Circles,Basis,{'tau_bit_per_feature': 2},N/A,0.7980,0.3685,4660.6640,0.7833,0.7727
Circles,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",N/A,0.7980,0.5708,3986.5554,1.0000,1.0000
Circles,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",N/A,0.7980,0.5708,3986.5554,1.0000,1.0000
Circles,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",N/A,0.7980,0.5617,3620.8489,1.0000,1.0000
Circles,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",N/A,0.7980,0.5617,3620.8489,1.0000,1.0000
Moons,Amplitude,{},N/A,0.5358,0.4151,6505.8233,0.4000,0.4000
Moons,Angle,{},N/A,0.5358,0.5464,564.4048,0.9667,0.9666
Moons,Basis,{'tau_bit_per_feature': 1},N/A,0.5358,0.3936,2832.0640,0.8833,0.8833
Moons,Basis,{'tau_bit_per_feature': 2},N/A,0.5358,0.3307,2026.6801,0.8500,0.8496
Moons,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",N/A,0.5358,0.5323,392.7313,0.9667,0.9666
Moons,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",N/A,0.5358,0.5323,392.7313,0.9667,0.9666
Moons,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",N/A,0.5358,0.5257,416.4860,0.9833,0.9833
Moons,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",N/A,0.5358,0.5257,416.4860,0.9833,0.9833
Quantum_Ad_Hoc,Amplitude,{},N/A,0.4892,0.3998,744.2170,0.4500,0.4495
Quantum_Ad_Hoc,Angle,{},N/A,0.4892,0.4589,60.8526,0.7500,0.7498
Quantum_Ad_Hoc,Basis,{'tau_bit_per_feature': 1},N/A,0.4892,0.2788,434.4562,0.6167,0.5694
Quantum_Ad_Hoc,Basis,{'tau_bit_per_feature': 2},N/A,0.4892,0.2720,313.1275,0.7667,0.7667
Quantum_Ad_Hoc,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",N/A,0.4892,0.4812,22.8565,0.7667,0.7661
Quantum_Ad_Hoc,IQP,"{'numero_ripetizioni': 1, 'pattern': [[0, 1]]}",N/A,0.4892,0.4812,22.8565,0.7667,0.7661
Quantum_Ad_Hoc,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",N/A,0.4892,0.4863,96.3706,0.7667,0.7667
Quantum_Ad_Hoc,IQP,"{'numero_ripetizioni': 2, 'pattern': [[0, 1]]}",N/A,0.4892,0.4863,96.3706,0.7667,0.7667
